state_id,action,reward,category,hit_wall,repeat,success,d0,d1,delta_d
0,0,-0.9539158344268799,wall,True,False,False,14,14,0
0,1,-0.31082066893577576,toward_goal,False,False,False,14,13,1
0,2,-0.9973986148834229,wall,True,False,False,14,14,0
0,3,-0.05951530113816261,toward_goal,False,False,False,14,13,1
1,0,-0.9831866025924683,repeat,False,True,False,7,8,-1
1,1,-0.4062843322753906,toward_goal,False,False,False,7,6,1
1,2,-0.9970383048057556,wall,True,False,False,7,7,0
1,3,-0.37983810901641846,toward_goal,False,False,False,7,6,1
2,0,-0.9603284597396851,away_goal,False,False,False,1,2,-1
2,1,-0.5947092175483704,wall,True,False,False,1,1,0
2,2,-0.995090663433075,repeat,False,True,False,1,2,-1
2,3,-0.4071669280529022,goal,False,False,True,1,0,1
3,0,-0.9539158344268799,wall,True,False,False,14,14,0
3,1,-0.31082066893577576,toward_goal,False,False,False,14,13,1
3,2,-0.9973986148834229,wall,True,False,False,14,14,0
3,3,-0.05951530113816261,toward_goal,False,False,False,14,13,1
4,0,-0.9695749282836914,repeat,False,True,False,8,9,-1
4,1,-0.40682488679885864,toward_goal,False,False,False,8,7,1
4,2,-0.9901489615440369,wall,True,False,False,8,8,0
4,3,-0.02304958738386631,toward_goal,False,False,False,8,7,1
5,0,-0.9796197414398193,repeat,False,True,False,1,2,-1
5,1,-0.7123799324035645,goal,False,False,True,1,0,1
5,2,-0.99637770652771,away_goal,False,False,False,1,2,-1
5,3,-0.46946069598197937,wall,True,False,False,1,1,0
6,0,-0.9539158344268799,wall,True,False,False,14,14,0
6,1,-0.31082066893577576,toward_goal,False,False,False,14,13,1
6,2,-0.9973986148834229,wall,True,False,False,14,14,0
6,3,-0.05951530113816261,toward_goal,False,False,False,14,13,1
7,0,-0.9850958585739136,repeat,False,True,False,7,8,-1
7,1,-0.7628602385520935,toward_goal,False,False,False,7,6,1
7,2,-0.9974206686019897,away_goal,False,False,False,7,8,-1
7,3,-0.1633027195930481,toward_goal,False,False,False,7,6,1
8,0,-0.9697332978248596,repeat,False,True,False,1,2,-1
8,1,-0.7487909197807312,wall,True,False,False,1,1,0
8,2,-0.9928471446037292,away_goal,False,False,False,1,2,-1
8,3,-0.1626725047826767,goal,False,False,True,1,0,1
9,0,-0.9539158344268799,wall,True,False,False,14,14,0
9,1,-0.31082066893577576,toward_goal,False,False,False,14,13,1
9,2,-0.9973986148834229,wall,True,False,False,14,14,0
9,3,-0.05951530113816261,toward_goal,False,False,False,14,13,1
10,0,-0.9887924194335938,wall,True,False,False,14,14,0
10,1,-0.7574678063392639,repeat,False,True,False,14,13,1
10,2,-0.9986929297447205,wall,True,False,False,14,14,0
10,3,-0.3971834182739258,repeat,False,True,False,14,13,1
11,0,-0.9853714108467102,wall,True,False,False,12,12,0
11,1,-0.7308362126350403,toward_goal,False,False,False,12,11,1
11,2,-0.9971519708633423,repeat,False,True,False,12,13,-1
11,3,-0.45054471492767334,toward_goal,False,False,False,12,11,1
12,0,-0.9539158344268799,wall,True,False,False,14,14,0
12,1,-0.31082066893577576,toward_goal,False,False,False,14,13,1
12,2,-0.9973986148834229,wall,True,False,False,14,14,0
12,3,-0.05951530113816261,toward_goal,False,False,False,14,13,1
13,0,-0.9280356764793396,wall,True,False,False,14,14,0
13,1,-0.23655633628368378,repeat,False,True,False,14,13,1
13,2,-0.9970374703407288,wall,True,False,False,14,14,0
13,3,-0.3025752305984497,toward_goal,False,False,False,14,13,1
14,0,-0.9699918627738953,repeat,False,True,False,13,14,-1
14,1,-0.8137964606285095,toward_goal,False,False,False,13,12,1
14,2,-0.9988115429878235,wall,True,False,False,13,13,0
